t,time,c:c,dayCosFactor:c,daySinFactor:c,temperature:c,weekCosFactorT:c,weekSinFactorT:c
1576971000000,2019-12-22T00:30+01:00[Europe/Vienna],140840,0.991444861372292,-0.130526192231589,7.06,-0.892698209242628,0.450654975801893
1576971900000,2019-12-22T00:45+01:00[Europe/Vienna],140702.5,0.997858923238946,-0.065403129224921,7.105,-0.896872741532674,0.44228869021903
1576972800000,2019-12-22T01:00+01:00[Europe/Vienna],130207.5,1,-6.99998281491346E-12,7.15,-0.90096886790176,0.433883739118927
1576973700000,2019-12-22T01:15+01:00[Europe/Vienna],140987.5,0.99785892323891,0.065403129225472,7.2,-0.904986230263748,0.425440857268093
1576974600000,2019-12-22T01:30+01:00[Europe/Vienna],137797.5,0.991444861376018,0.130526192203281,7.25,-0.908924477411095,0.416960782763761
1576975500000,2019-12-22T01:45+01:00[Europe/Vienna],131397.5,0.980785280403239,0.195090322016085,7.3,-0.912783265061104,0.408444256936476
1576976400000,2019-12-22T02:00+01:00[Europe/Vienna],126700,0.965925826288479,0.258819045104717,7.35,-0.916562255870626,0.399892024318252
1576977300000,2019-12-22T02:15+01:00[Europe/Vienna],133175,0.946930129498307,0.321439465293731,7.3975,-0.920261119472652,0.391304832562723
1576978200000,2019-12-22T02:30+01:00[Europe/Vienna],125495,0.923879532508642,0.382683432371475,7.445,-0.923879532511466,0.382683432364658
1576979100000,2019-12-22T02:45+01:00[Europe/Vienna],122162.5,0.896872741535042,0.442288690214228,7.4925,-0.927417178656593,0.374028577427774
1576980000000,2019-12-22T03:00+01:00[Europe/Vienna],118597.5,0.86602540378594,0.499999999997399,7.54,-0.930873748644617,0.365341024365343
1576980900000,2019-12-22T03:15+01:00[Europe/Vienna],115902.5,0.831469612311011,0.555570233006933,7.5725,-0.934248940293823,0.356621532664347
1576981800000,2019-12-22T03:30+01:00[Europe/Vienna],115627.5,0.793353340290241,0.608761429010016,7.605,-0.93754245854399,0.347870864585252
1576982700000,2019-12-22T03:45+01:00[Europe/Vienna],109372.5,0.751839807485967,0.659345815092099,7.6375,-0.940754015467734,0.339089785132691
1576983600000,2019-12-22T04:00+01:00[Europe/Vienna],105260,0.707106781192404,0.707106781180691,7.67,-0.943883330307977,0.330279061956284
1576984500000,2019-12-22T04:15+01:00[Europe/Vienna],106135,0.659345815115493,0.751839807465451,7.68,-0.946930129494247,0.321439465305691
1576985400000,2019-12-22T04:30+01:00[Europe/Vienna],105650,0.608761429011612,0.793353340289016,7.69,-0.949894146672683,0.312571767946139
1576986300000,2019-12-22T04:45+01:00[Europe/Vienna],105310,0.555570233020705,0.831469612301808,7.7,-0.952775122723391,0.303676745108062
1576987200000,2019-12-22T05:00+01:00[Europe/Vienna],106992.5,0.500000000011743,0.866025403777659,7.71,-0.955572805785646,0.294755174412507
1576988100000,2019-12-22T05:15+01:00[Europe/Vienna],109990,0.442288690216032,0.896872741534152,7.6975,-0.958286951285192,0.285807835785744
1576989000000,2019-12-22T05:30+01:00[Europe/Vienna],112890,0.382683432373333,0.923879532507872,7.685,-0.960917321944819,0.276835511425825
1576989900000,2019-12-22T05:45+01:00[Europe/Vienna],112220,0.321439465295635,0.94693012949766,7.6725,-0.963463687815256,0.267838985701162
1576990800000,2019-12-22T06:00+01:00[Europe/Vienna],116015,0.25881904510666,0.965925826287959,7.66,-0.965925826288506,0.258819045104618
1576991700000,2019-12-22T06:15+01:00[Europe/Vienna],116240,0.195090322018057,0.980785280402847,7.625,-0.968303522122256,0.249776478167247
1576992600000,2019-12-22T06:30+01:00[Europe/Vienna],118197.5,0.13052619223413,0.991444861371957,7.59,-0.970596567453028,0.240712075410438
1576993500000,2019-12-22T06:45+01:00[Europe/Vienna],119965,0.065403129227479,0.997858923238778,7.555,-0.972804761820826,0.231626629252176
1576994400000,2019-12-22T07:00+01:00[Europe/Vienna],122645,9.56332696650797E-12,1,7.52,-0.97492791218123,0.222520933958913
1576995300000,2019-12-22T07:15+01:00[Europe/Vienna],127147.5,-0.065403129222914,0.997858923239077,7.5,-0.976965832926562,0.213395785558453
1576996200000,2019-12-22T07:30+01:00[Europe/Vienna],129607.5,-0.130526192229595,0.991444861372554,7.48,-0.978918345897611,0.20425198178986
1576997100000,2019-12-22T07:45+01:00[Europe/Vienna],132815,-0.195090322013571,0.980785280403739,7.46,-0.980785280402904,0.195090322017768
1576998000000,2019-12-22T08:00+01:00[Europe/Vienna],135582.5,-0.258819045102241,0.965925826289143,7.44,-0.982566473233377,0.185911607162445
1576998900000,2019-12-22T08:15+01:00[Europe/Vienna],138617.5,-0.321439465291303,0.946930129499131,7.5475,-0.984261768673176,0.176716639647633
1576999800000,2019-12-22T08:30+01:00[Europe/Vienna],141110,-0.382683432369107,0.923879532509623,7.655,-0.985871018518122,0.167506223305405
1577000700000,2019-12-22T08:45+01:00[Europe/Vienna],145070,-0.442288690211929,0.896872741536176,7.7625,-0.987394082084628,0.158281163327334
1577001600000,2019-12-22T09:00+01:00[Europe/Vienna],148440,-0.499999999995179,0.866025403787222,7.87,-0.988830826225126,0.14904226617619
1577002500000,2019-12-22T09:15+01:00[Europe/Vienna],153597.5,-0.555570233004802,0.831469612312435,8.01,-0.990181125336235,0.139790339536988
1577003400000,2019-12-22T09:30+01:00[Europe/Vienna],156307.5,-0.608761429007983,0.793353340291801,8.15,-0.991444861373657,0.130526192221214
1577004300000,2019-12-22T09:45+01:00[Europe/Vienna],158180,-0.659345815101113,0.751839807478062,8.29,-0.992621923859699,0.121250634114091
1577005200000,2019-12-22T10:00+01:00[Europe/Vienna],161805,-0.707106781178879,0.707106781194216,8.43,-0.993712209893186,0.111964476103815
1577006100000,2019-12-22T10:15+01:00[Europe/Vienna],163677.5,-0.75183980748295,0.659345815095539,8.585,-0.994715624160387,0.102668529994406
1577007000000,2019-12-22T10:30+01:00[Europe/Vienna],165215,-0.793353340287456,0.608761429013646,8.74,-0.995632078940978,0.09336360845461
1577007900000,2019-12-22T10:45+01:00[Europe/Vienna],167032.5,-0.831469612300384,0.555570233022836,8.895,-0.99646149411766,0.084050524928766
1577008800000,2019-12-22T11:00+01:00[Europe/Vienna],170357.5,-0.866025403776377,0.500000000013963,9.05,-0.997203797181105,0.074730093587426
1577009700000,2019-12-22T11:15+01:00[Europe/Vienna],173415,-0.896872741533019,0.442288690218331,9.17,-0.99785892323856,0.065403129230814
1577010600000,2019-12-22T11:30+01:00[Europe/Vienna],175872.5,-0.923879532506891,0.382683432375701,9.29,-0.998426815017695,0.056070447239349
1577011500000,2019-12-22T11:45+01:00[Europe/Vienna],174970,-0.946930129492159,0.321439465311842,9.41,-0.998907422872894,0.046732863484213
1577012400000,2019-12-22T12:00+01:00[Europe/Vienna],173277.5,-0.965925826283529,0.258819045123192,9.53,-0.999300704788342,0.037391194277823
