Time, trainValue,dayCosFactor,daySinFactor,temperature,weekCosFactor,weekSinFactor,yearCosFactor,yearSinFactor
2024-01-02T13:00+02:00[Asia/Jerusalem],4139489.167,-0.965925826286614,0.258819045111681,18.64375,0.185911607160052,-0.98256647323383,0.969186755233411,0.246327086371216
2024-01-02T13:30+02:00[Asia/Jerusalem],4139305,-0.991444861371278,0.130526192239284,18.55,0.204251981787476,-0.978918345898108,0.969098352799199,0.246674649289059
2024-01-02T14:00+02:00[Asia/Jerusalem],4181670,-1,2.09028661836942E-13,18.44375,0.222520933958312,-0.974927912181368,0.9690098257244,0.247022180480958
2024-01-02T14:30+02:00[Asia/Jerusalem],4253188.333,-0.991444861373232,-0.130526192224442,18.25,0.240712075408074,-0.970596567453614,0.968921174020458,0.247369679901997
2024-01-02T15:00+02:00[Asia/Jerusalem],4305860,-0.965925826290488,-0.258819045097221,18.05,0.258819045102266,-0.965925826289137,0.968832397698733,0.247717147507646
2024-01-02T15:30+02:00[Asia/Jerusalem],4363920.833,-0.923879532511612,-0.382683432364305,17.79375,0.276835511425232,-0.960917321944989,0.968743496770669,0.248064583253106
2024-01-02T16:00+02:00[Asia/Jerusalem],4413820.833,-0.866025403789821,-0.499999999990677,17.28125,0.294755174411918,-0.955572805785828,0.968654471247673,0.248411987093802
2024-01-02T16:30+02:00[Asia/Jerusalem],4577254.167,-0.793353340294966,-0.608761429003859,16.40625,0.312571767943826,-0.949894146673444,0.968565321141209,0.248759358984997
2024-01-02T17:00+02:00[Asia/Jerusalem],4764530.833,-0.707106781187602,-0.707106781185493,15.6625,0.330279061953985,-0.943883330308781,0.968476046462757,0.249106698881959
2024-01-02T17:30+02:00[Asia/Jerusalem],4901776.667,-0.608761429017769,-0.793353340284292,15.25,0.347870864584674,-0.937542458544204,0.968386647223772,0.249454006740124
2024-01-02T18:00+02:00[Asia/Jerusalem],4972535,-0.500000000005862,-0.866025403781054,14.95,0.365341024363076,-0.930873748645507,0.968297123435779,0.249801282514715
2024-01-02T18:30+02:00[Asia/Jerusalem],4997334.167,-0.382683432380503,-0.923879532504902,14.65,0.382683432362408,-0.923879532512398,0.968207475110264,0.250148526161175
2024-01-02T19:00+02:00[Asia/Jerusalem],4996188.333,-0.258819045100101,-0.965925826289717,14.35,0.399892024321022,-0.916562255869417,0.968117702258771,0.25049573763479
2024-01-02T19:30+02:00[Asia/Jerusalem],4988220.833,-0.13052619221297,-0.991444861374743,14.00625,0.4169607827632,-0.908924477411352,0.968027804892847,0.250842916890902
2024-01-02T20:00+02:00[Asia/Jerusalem],4916850,-2.77237281343146E-12,-1,13.80625,0.433883739116733,-0.900968867902816,0.967937783024068,0.251190063884805
2024-01-02T20:30+02:00[Asia/Jerusalem],4828252.5,0.1305261922219,-0.991444861373567,13.85,0.450654975799719,-0.892698209243726,0.967847636663984,0.251537178571959
2024-01-02T21:00+02:00[Asia/Jerusalem],4709091.667,0.258819045094745,-0.965925826291152,13.9,0.467268628273424,-0.884115393504418,0.967757365824216,0.251884260907612
2024-01-02T21:30+02:00[Asia/Jerusalem],4574781.667,0.382683432361936,-0.923879532512593,13.9,0.483718887106178,-0.875223421908235,0.967666970516348,0.252231310847232
2024-01-02T22:00+02:00[Asia/Jerusalem],4447085,0.499999999988458,-0.866025403791103,13.85,0.499999999998351,-0.866025403785391,0.967576450752034,0.252578328346073
2024-01-02T22:30+02:00[Asia/Jerusalem],4276862.5,0.608761429001826,-0.793353340296526,13.75,0.516106273806443,-0.856524555478492,0.967485806542887,0.252925313359616
2024-01-02T23:00+02:00[Asia/Jerusalem],4061739.167,0.707106781173391,-0.707106781199704,13.7,0.532032076514846,-0.846724199228592,0.96739503790058,0.253272265843176
2024-01-02T23:30+02:00[Asia/Jerusalem],3830521.667,0.793353340282731,-0.608761429019803,13.66875,0.547771839214897,-0.836627762008367,0.967304144836801,0.253619185752075
2024-01-03T00:00+02:00[Asia/Jerusalem],3604728.333,0.866025403779773,-0.500000000008082,13.23125,0.563320058061232,-0.826238774317624,0.967213127363212,0.253966073041805
2024-01-03T00:30+02:00[Asia/Jerusalem],3477125,0.923879532515059,-0.382683432355983,13.15,0.578671296180954,-0.815560868958445,0.967121985491533,0.254312927667696
2024-01-03T01:00+02:00[Asia/Jerusalem],3410270,0.965925826289053,-0.258819045102577,13.04375,0.593820185575168,-0.804597779765439,0.967030719233487,0.254659749585137
2024-01-03T01:30+02:00[Asia/Jerusalem],3293931.667,0.991444861374408,-0.130526192215512,12.9,0.608761429008003,-0.793353340291786,0.966939328600827,0.255006538749466
2024-01-03T02:00+02:00[Asia/Jerusalem],3206755,1,-5.33571696502598E-12,12.75,0.623489801858544,-0.781831482468181,0.966847813605277,0.255353295116191
2024-01-03T02:30+02:00[Asia/Jerusalem],3147050,0.991444861373902,0.130526192219359,12.55625,0.638000153933332,-0.770036235238995,0.966756174258637,0.255700018640604
2024-01-03T03:00+02:00[Asia/Jerusalem],3099634.167,0.965925826291815,0.258819045092269,12.55625,0.652287411276184,-0.75797172314712,0.966664410572663,0.256046709278221
2024-01-03T03:30+02:00[Asia/Jerusalem],3095776.667,0.923879532513574,0.382683432359568,12.75,0.666346577950592,-0.745642164884427,0.966572522559188,0.256393366984343
2024-01-03T04:00+02:00[Asia/Jerusalem],3130088.333,0.866025403792384,0.499999999986238,12.89375,0.680172737770017,-0.733051871830663,0.96648051023,0.256739991714494
2024-01-03T04:30+02:00[Asia/Jerusalem],3189350.833,0.793353340298086,0.608761428999792,12.85,0.693761056028132,-0.720205246536521,0.966388373596949,0.257086583424038
2024-01-03T05:00+02:00[Asia/Jerusalem],3338498.333,0.707106781201516,0.707106781171579,12.8,0.707106781184042,-0.707106781189053,0.966296112671897,0.257433142068343
2024-01-03T05:30+02:00[Asia/Jerusalem],3479458.333,0.608761429010292,0.79335334029003,12.8,0.720205246536651,-0.693761056027997,0.966203727466669,0.257779667603002
2024-01-03T06:00+02:00[Asia/Jerusalem],3615885,0.499999999997699,0.866025403785767,12.85625,0.733051871830791,-0.680172737769879,0.966111217993205,0.258126159983226
2024-01-03T06:30+02:00[Asia/Jerusalem],3688062.5,0.382683432358351,0.923879532514078,13.00625,0.745642164882128,-0.666346577953165,0.966018584263358,0.258472619164616
2024-01-03T07:00+02:00[Asia/Jerusalem],3899478.333,0.258819045105053,0.96592582628839,13.30625,0.75797172314487,-0.652287411278799,0.965925826289073,0.258819045102503
2024-01-03T07:30+02:00[Asia/Jerusalem],4078246.667,0.130526192218053,0.991444861374074,13.85,0.770036235239115,-0.638000153933187,0.96583294408225,0.25916543775244
2024-01-03T08:00+02:00[Asia/Jerusalem],4155183.333,7.8990611166205E-12,1,14.4,0.781831482468298,-0.623489801858397,0.965739937654864,0.259511797069766
2024-01-03T08:30+02:00[Asia/Jerusalem],4311367.5,-0.130526192216817,0.991444861374236,14.89375,0.793353340289686,-0.60876142901074,0.965646807018848,0.259858123010045
2024-01-03T09:00+02:00[Asia/Jerusalem],4369485,-0.258819045089793,0.965925826292479,15.35,0.804597779765551,-0.593820185575016,0.96555355218621,0.260204415528624
2024-01-03T09:30+02:00[Asia/Jerusalem],4462943.333,-0.3826834323572,0.923879532514555,15.85625,0.815560868958554,-0.578671296180801,0.965460173168913,0.260550674581074
2024-01-03T10:00+02:00[Asia/Jerusalem],4496495,-0.499999999984018,0.866025403793666,16.39375,0.826238774315681,-0.563320058064083,0.965366669978998,0.260896900122751
2024-01-03T10:30+02:00[Asia/Jerusalem],4580880.833,-0.608761429009303,0.793353340290788,16.85,0.836627762006477,-0.547771839217784,0.965273042628446,0.261243092109291
2024-01-03T11:00+02:00[Asia/Jerusalem],4556290.833,-0.707106781190346,0.707106781182749,17.35,0.846724199228692,-0.532032076514687,0.965179291129342,0.261589250496002
2024-01-03T11:30+02:00[Asia/Jerusalem],4533704.167,-0.793353340288469,0.608761429012325,17.85,0.856524555478589,-0.516106273806282,0.965085415493746,0.261935375238365
2024-01-03T12:00+02:00[Asia/Jerusalem],4533551.667,-0.866025403784485,0.499999999999919,18.3,0.866025403783666,-0.500000000001339,0.964991415733702,0.262281466291971
2024-01-03T12:30+02:00[Asia/Jerusalem],4466521.667,-0.923879532507528,0.382683432374164,18.65,0.875223421908326,-0.483718887106013,0.964897291861328,0.262627523612199
2024-01-03T13:00+02:00[Asia/Jerusalem],4565192.5,-0.965925826287726,0.258819045107529,18.8875,0.884115393504506,-0.467268628273257,0.9648030438887,0.26297354715465
2024-01-03T13:30+02:00[Asia/Jerusalem],4465308.333,-0.991444861373739,0.130526192220594,18.89375,0.89269820924381,-0.450654975799551,0.964708671827971,0.263319536874711
2024-01-03T14:00+02:00[Asia/Jerusalem],4355335.833,-1,1.0462405268215E-11,18.75,0.90096886790132,-0.433883739119841,0.964614175691248,0.263665492727992
2024-01-03T14:30+02:00[Asia/Jerusalem],4349196.667,-0.991444861374571,-0.130526192214276,18.55,0.90892447741143,-0.416960782763029,0.964519555490714,0.264011414669887
2024-01-03T15:00+02:00[Asia/Jerusalem],4387157.5,-0.965925826293142,-0.258819045087317,18.29375,0.916562255869493,-0.399892024320849,0.964424811238509,0.264357302656017
2024-01-03T15:30+02:00[Asia/Jerusalem],4458100.833,-0.923879532515536,-0.382683432354832,17.9,0.923879532511078,-0.382683432365595,0.96432994294685,0.264703156641785
2024-01-03T16:00+02:00[Asia/Jerusalem],4529274.167,-0.866025403780396,-0.500000000007002,17.38125,0.930873748644247,-0.365341024366287,0.964234950627891,0.265048976582874
2024-01-03T16:30+02:00[Asia/Jerusalem],4654080.833,-0.793353340292349,-0.608761429007269,16.50625,0.93754245854427,-0.347870864584498,0.964139834293896,0.265394762434641
2024-01-03T17:00+02:00[Asia/Jerusalem],4844915,-0.707106781184562,-0.707106781188533,15.75625,0.943883330308843,-0.330279061953807,0.964044593957098,0.265740514152613
2024-01-03T17:30+02:00[Asia/Jerusalem],4975626.667,-0.608761429014359,-0.793353340286909,15.15625,0.949894146672366,-0.312571767947103,0.963949229629715,0.266086231692431
2024-01-03T18:00+02:00[Asia/Jerusalem],5053135,-0.500000000002139,-0.866025403783203,14.7,0.955572805785883,-0.294755174411738,0.963853741324045,0.26643191500952
2024-01-03T18:30+02:00[Asia/Jerusalem],5080810.833,-0.382683432376532,-0.923879532506547,14.30625,0.960917321945041,-0.276835511425051,0.963758129052338,0.266777564059532
2024-01-03T19:00+02:00[Asia/Jerusalem],5062029.167,-0.258819045110005,-0.965925826287063,14.05,0.965925826289185,-0.258819045102084,0.96366239282692,0.267123178797899
2024-01-03T19:30+02:00[Asia/Jerusalem],5031662.5,-0.130526192237563,-0.991444861371505,13.85,0.970596567452784,-0.240712075411422,0.963566532660076,0.267468759180281
2024-01-03T20:00+02:00[Asia/Jerusalem],4963499.167,-1.30257494198095E-11,-1,13.65625,0.974927912181409,-0.222520933958129,0.963470548564163,0.267814305162122
2024-01-03T20:30+02:00[Asia/Jerusalem],4862074.167,0.130526192211735,-0.991444861374905,13.54375,0.978918345897404,-0.204251981790853,0.963374440551498,0.268159816699087
2024-01-03T21:00+02:00[Asia/Jerusalem],4726781.667,0.258819045112953,-0.965925826286273,13.4,0.982566473233189,-0.185911607163441,0.963278208634456,0.268505293746685
2024-01-03T21:30+02:00[Asia/Jerusalem],4568952.5,0.382683432365908,-0.923879532510948,13.25625,0.985871018518257,-0.167506223304612,0.963181852825413,0.268850736260483
2024-01-03T22:00+02:00[Asia/Jerusalem],4460722.5,0.500000000004783,-0.866025403781677,13.15,0.988830826225246,-0.149042266175394,0.963085373136764,0.26919614419605
2024-01-03T22:30+02:00[Asia/Jerusalem],4303740,0.608761429005236,-0.793353340293909,13.09375,0.991444861374,-0.130526192218613,0.962988769580931,0.269541517508908
2024-01-03T23:00+02:00[Asia/Jerusalem],4085027.5,0.70710678118672,-0.707106781186375,13,0.993712209893072,-0.111964476104822,0.962892042170309,0.269886856154746
2024-01-03T23:30+02:00[Asia/Jerusalem],3856449.167,0.793353340285348,-0.608761429016393,12.91875,0.995632078941053,-0.0933636084538087,0.962795190917369,0.270232160089039
2024-01-04T00:00+02:00[Asia/Jerusalem],3618635,0.866025403781922,-0.500000000004359,13.0375,0.997203797181165,-0.074730093586623,0.962698215834536,0.270577429267484
2024-01-04T00:30+02:00[Asia/Jerusalem],3428106.667,0.923879532505566,-0.3826834323789,12.99375,0.998426815017639,-0.0560704472403617,0.962601116934315,0.270922663645567
2024-01-04T01:00+02:00[Asia/Jerusalem],3276555,0.9659258262864,-0.258819045112481,12.90625,0.999300704788305,-0.0373911942788363,0.962503894229163,0.271267863178993
2024-01-04T01:30+02:00[Asia/Jerusalem],3238858.333,0.99144486137117,-0.130526192240105,12.85,0.999825160912712,-0.018698866432752,0.962406547731614,0.271613027823255
2024-01-04T02:00+02:00[Asia/Jerusalem],3206275.833,1,-1.0371783430372E-12,12.7375,1,2.45038795606019E-12,0.962309077454143,0.271958157534126
2024-01-04T02:30+02:00[Asia/Jerusalem],3144962.5,0.991444861373341,0.130526192223621,12.40625,0.999825160912756,0.0186988664303772,0.962211483409348,0.272303252266995
2024-01-04T03:00+02:00[Asia/Jerusalem],3117465.833,0.965925826286937,0.258819045110477,12.1,0.999300704788393,0.0373911942764628,0.962113765609733,0.272648311977645
2024-01-04T03:30+02:00[Asia/Jerusalem],3097822.5,0.923879532511929,0.382683432363539,11.85,0.998426815017772,0.0560704472379902,0.962015924067884,0.272993336621639
2024-01-04T04:00+02:00[Asia/Jerusalem],3138971.667,0.866025403782959,0.500000000002563,11.70625,0.997203797181343,0.0747300935842545,0.961917958796398,0.273338326154548
2024-01-04T04:30+02:00[Asia/Jerusalem],3199166.667,0.79335334029547,0.608761429003202,11.7,0.995632078941275,0.0933636084514439,0.961819869807846,0.273683280532111
2024-01-04T05:00+02:00[Asia/Jerusalem],3358230.833,0.707106781188187,0.707106781184908,11.69375,0.993712209893338,0.111964476102462,0.961721657114873,0.274028199709851
2024-01-04T05:30+02:00[Asia/Jerusalem],3451256.667,0.608761429018426,0.793353340283788,11.55625,0.991444861373835,0.130526192219865,0.961623320730081,0.274373083643517
2024-01-04T06:00+02:00[Asia/Jerusalem],3535570,0.500000000006579,0.86602540378064,11.49375,0.9888308262256,0.149042266173046,0.961524860666147,0.274717932288641
2024-01-04T06:30+02:00[Asia/Jerusalem],3709692.5,0.382683432381268,0.923879532504585,11.4625,0.985871018518655,0.16750622330227,0.961426276935704,0.275062745600981
2024-01-04T07:00+02:00[Asia/Jerusalem],3917431.667,0.258819045114957,0.965925826285736,11.81875,0.98256647323363,0.185911607161107,0.961327569551464,0.275407523536079
